111
Cutting Crew,I just died in your arms tonight,215,1985,[pop|soul|techno],854723
A-ha,Take on me,245,1984,[pop|rock|soul|funk],422406
Alphaville,Big in Japan,255,1984,[pop|rock|country|funk|techno],654969
Boston,More than a Feeling,263,1976,[pop|rock|punk|soul|funk|ska],309831
Cyndi Lauper,Girls just want to have fun,208,1983,[pop|rock|punk|soul|country|funk],669345
Desireless,Voyage voyage,263,1987,[pop|techno],614216
Harold Faltermeyer & Steve Stevens,Top Gun Anthem,246,1986,[pop|soul|blues],201682
Depeche Mode,Strangelove,244,1987,[pop|rock|punk|soul|techno],848765
Anita Ward,Ring my bell,269,1979,[pop|rock|soul|blues],998759
Enya,Orinoco Flow,283,1988,[pop|soul|reggae|techno],247893
Erasure,Oh L'amour,290,1986,[pop|rock|techno],929856
Europe,The final countdown,280,1986,[pop|rock|heavy|punk|soul|blues],147070
Gazebo,I like chopin,253,1983,[pop|ska|techno],986604
Jean Michel Jarre,Magnetics Fields II,275,1976,[pop|techno],14298
Rockwell,Somebody's watching me,297,1984,[rock|heavy|punk],711789
Mike Oldfield,Moonlight Shadow,296,1983,[pop|techno],257809
Modern Talking,"Youre my heart, youre my soul",257,1984,[pop|techno],620395
The Police,Every breath you take,204,1983,[pop|rock|ska|reggae],426699
Toto,Africa,279,1983,[pop|rock|blues|reggae],622008
When in Rome,The promise,237,1988,[pop],653094
John Waite,Missing you,213,1984,[soul|blues|country|funk],485598
John Miles,Music,244,1983,[soul|techno],102472
Dire Straits,Brothers in arms,243,1985,[pop|rock|heavy|blues|country|funk],865877
Eric Carmen,All by myself,263,1975,[pop],639753
Status Quo,Whatever you want,231,1979,[pop|rock|funk|techno],711001
Ultravox,Vienna,206,1980,[soul|techno],860353
Roxy Music,More than this,298,1982,[pop|soul|techno],135838
Chicago,Hard to say I'm sorry,266,1982,[pop|rock],445664
Psychedelic Furs,Heaven,206,1984,[pop|rock|punk|soul|blues|techno],230651
Limahl,Neverending story,241,1984,[ska|reggae|techno],490196
Supertramp,The Logical song,282,1979,[pop|rock|heavy],204665
Bananarama,Cruel Summer,249,1983,[pop|soul|blues],912327
Pet Shop Boys,It's a sin,237,1987,[pop|techno],676132
Cyndi Lauper,Time after time,297,1984,[pop|rock],342242
Opus,Live is life,298,1985,[pop|rock|heavy],519164
Foreigner,I want to know what love is,279,1984,[pop|soul],409918
Roxette,Listen to your heart,241,1988,[pop|rock|techno],182639
Bonnie Tyler,Total eclipse of the heart,216,1983,[pop|soul|blues],204196
New Order,Bizarre Love Triangle,237,1986,[pop|techno],793154
Womack & Womack,Teardrop,293,1988,[pop|rock],802976
Aerosmith,Dream on,227,1973,[rock|heavy],143306
Baltimora,Tarzan Boy,285,1985,[pop|techno],286935
Bon Jovi,Livin' on a prayer,230,1986,[rock|heavy],115118
Toto,Hold the line,274,1978,[pop|rock|heavy|ska],38058
Culture Club,Karma Chameleon,214,1983,[pop|techno],478485
Dire Straits,Money for nothing,226,1985,[pop|rock],523481
The Buggles,Video killed the radio star,286,1979,[pop|funk|ska],883801
Ultravox,Hymn,241,1982,[pop|techno],199072
Camouflage,Love is a shield,296,1989,[pop|techno],300112
Valerie Dore,The night,281,1984,[soul|blues],800878
Eurythmics,Sweet Dreams,246,1983,[pop|techno],964118
Yazz,The only way is up,208,1988,[rock|soul|blues],681705
Frankie goes to Hollywood,Relax,261,1983,[pop|rock|funk],946057
Chicago,If you live me now,265,1976,[pop|techno],190943
Iggy Pop,The Passenger,273,1987,[rock|heavy|punk],816077
Kate Bush,Wuthering Heights,211,1978,[pop],475251
Yes,Owner of a lonely heart,215,1983,[pop|rock],235319
Michael Cretu,Samurai,235,1985,[pop|techno],723365
Miko Mission,How old are you?,228,1984,[pop|soul|techno],991055
Jean Michel Jarre,Oxygene IV,231,1981,[pop|techno],408313
A-ha,The sun always shine on TV,239,1985,[pop|rock|heavy],452140
Erasure,A little respect,213,1988,[pop|techno],753430
Nick Kamen,I promised myself,211,1990,[pop|techno],312572
Nik Kershaw,The riddle,259,1984,[country|funk|ska],614267
Scorpions,Still loving you,219,1984,[pop|rock|heavy],5624
Richard Marx,Right Here Waiting,232,1989,[pop|rock|soul|blues|country],516694
Metallica,Fade to black,264,1984,[rock|heavy],262856
Depeche Mode,Just can't get enough,221,1981,[pop|techno],403055
Rick James,Superfreak,290,1981,[pop|soul|blues],931128
Sandra,In the heat of the night,230,1985,[pop],34201
Survivor,Eye of the tiger,288,1982,[pop|techno],581804
Status Quo,In the Army now,284,1986,[pop|rock],187757
Talk Talk,It's my life,228,1984,[pop|soul|techno],400707
Michael Jackson,Thriller,276,1984,[pop],134401
F.R. David,Words,207,1982,[pop|rock|techno],851575
Yazoo,Don't go,249,1982,[techno],107588
Trio,Da da da,286,1982,[punk|techno],192103
Tears for fears,Shout,257,1984,[pop|techno],991680
Softcell,Tainted love,241,1981,[pop|funk],887882
Roxette,It must have been love,238,1987,[pop|rock|techno],513358
Dire Straits,Walk of Life,294,1986,[pop|rock],629242
Alphaville,Forever young,247,1985,[pop|rock|techno],246504
The pretenders,Don't get me wrong,268,1986,[soul|blues],88169
OMD,Enola gay,280,1980,[pop|techno],537105
Nena,99 Luftballons,274,1983,[pop|soul|techno],851947
Culture Club,Do you really want to hurt me,298,1982,[pop|techno],468404
Martika,Toy soldiers,245,1989,[pop|soul],497187
Kool & the Gang,Celebration,227,1980,[pop|techno],554539
Kim Carnes,Bette Davis Eyes,223,1981,[pop|techno],398528
Falco,Rock me Amadeus,216,1986,[pop|rock],450635
U2,With or without you,238,1987,[pop|rock],242119
Sandra,Maria Magdalena,282,1985,[soul|blues],467065
Queen,I want to break free,255,1984,[pop|rock],992154
Katrina and the Waves,Walking on Sunshine,300,1985,[funk|ska|reggae],584072
Human League,Don't you want me,242,1981,[pop|rock|techno],162218
Imagination,Just an illusion,217,1982,[pop|funk],379596
Alphaville,Sounds like a melody,206,1984,[pop|techno],110388
Alan Parson Project,Eye in the sky,245,1982,[techno],347986
Joan Jett,I love Rock and Roll,240,1982,[pop|rock],912049
Madness,Our house,279,1982,[pop|rock|heavy|punk|ska],431034
REM,Losing my religion,263,1981,[pop|rock],386982
Marc Cohn,Walking in Memphis,253,1991,[pop|funk],776612
Guru Josh,Infinity,202,1990,[pop],552774
Stevie B,Because I love you,278,1990,[pop|soul|blues|country],246178
Blondie,Heart of glass,250,1979,[pop|rock|heavy|punk|ska],146003
Extreme,More than words,200,1991,[pop|rock|heavy],612965
Abba,The Winner Takes It All,256,1979,[pop],662500
Depeche Mode,Enjoy the silence,211,1990,[pop|rock|techno],721020
Mike and Mechanics,Over my shoulder,245,1995,[pop|rock],400622
Vanilla Ice,Ice Ice Baby,270,1990,[pop|techno],745155
Pet Shop Boys,Go west,299,1979,[pop|rock|techno],294607
